职位名称：（银行核心业务系统）软件测试工程师, 薪资：9-14K, 公司：信雅达软件, 人数：1000-9999人
职位名称：外派软件测试工程师, 薪资：9-12K, 公司：软通动力, 人数：10000人以上
职位名称：中级测试工程师, 薪资：6-11K·13薪, 公司：东风新能源汽车销售服务, 人数：500-999人
职位名称：测试工程师, 薪资：4-8K, 公司：开路者, 人数：500-999人
职位名称：测试工程师, 薪资：15-25K, 公司：好大夫在线, 人数：20-99人
职位名称：高级测试工程师, 薪资：12-22K, 公司：学科网, 人数：500-999人
职位名称：软件测试工程师, 薪资：10-15K, 公司：鲨鱼记账, 人数：1000-9999人
职位名称：高级测试工程师, 薪资：10-11K, 公司：甲乙丙丁网, 人数：100-499人
职位名称：高级测试工程师, 薪资：10-15K, 公司：江泰, 人数：20-99人
职位名称：解决方案测试工程师, 薪资：12-20K, 公司：中科晶上, 人数：100-499人
职位名称：高级软件测试工程师（QE）, 薪资：15-30K, 公司：汉熵通信, 人数：20-99人
职位名称：视觉测试工程师, 薪资：11-20K, 公司：北京配天, 人数：100-499人
职位名称：web测试工程师, 薪资：15-30K, 公司：Boss直聘, 人数：1000-9999人
职位名称：通信测试工程师, 薪资：5-10K, 公司：KSL, 人数：0-20人
职位名称：高级测试工程师, 薪资：13-16K, 公司：腾信软创, 人数：500-999人
职位名称：UC事业部-国际广告平台-测试工程师, 薪资：20-40K, 公司：阿里巴巴大文娱, 人数：1000-9999人
职位名称：国内酒店软件测试工程师, 薪资：20-35K·14薪, 公司：同程艺龙, 人数：1000-9999人
职位名称：算法测试工程师, 薪资：15-30K, 公司：纵目科技, 人数：100-499人
职位名称：测试工程师, 薪资：6-9K, 公司：铁力山, 人数：500-999人
职位名称：航空测试工程师, 薪资：10-20K, 公司：帆美航空, 人数：20-99人
职位名称：产品测试工程师, 薪资：6-8K, 公司：北京赛鼎, 人数：20-99人
职位名称：光伏测试工程师, 薪资：15-30K, 公司：汉能控股集团, 人数：10000人以上
职位名称：测试工程师, 薪资：11-16K, 公司：阳光汇点, 人数：100-499人
职位名称：网络安全测试工程师, 薪资：7-8K, 公司：熠宸信息, 人数：100-499人
职位名称：测试工程师, 薪资：15-25K, 公司：中电智绘系统技术..., 人数：100-499人
职位名称：嵌入式软件测试工程师, 薪资：10-15K, 公司：中科院空间应用中心, 人数：100-499人
职位名称：硬件测试工程师, 薪资：12-22K, 公司：BOE, 人数：10000人以上
职位名称：测试工程师, 薪资：8-15K, 公司：光明网, 人数：20-99人
职位名称：测试工程师, 薪资：10-11K, 公司：北京华亿嘉科技有..., 人数：0-20人
职位名称：测试工程师, 薪资：14-25K, 公司：豌豆公主, 人数：100-499人
职位名称：网闸产品测试工程师, 薪资：11-15K·15薪, 公司：天融信, 人数：1000-9999人
职位名称：测试工程师, 薪资：10-20K, 公司：百卓网络, 人数：100-499人
职位名称：高级测试工程师, 薪资：13-20K, 公司：凌猫科技, 人数：20-99人
职位名称：测试工程师, 薪资：8-11K, 公司：软通动力集团, 人数：10000人以上
职位名称：软件测试工程师, 薪资：10-15K, 公司：连山, 人数：100-499人
职位名称：软件测试工程师, 薪资：12-24K, 公司：信思贤, 人数：20-99人
职位名称：高级软件测试工程师, 薪资：20-40K, 公司：SmartX, 人数：20-99人
职位名称：APP测试工程师, 薪资：15-30K, 公司：Boss直聘, 人数：1000-9999人
职位名称：测试工程师, 薪资：8-13K, 公司：恒润科技, 人数：1000-9999人
职位名称：测试工程师, 薪资：12-14K, 公司：三好网, 人数：1000-9999人
职位名称：测试工程师, 薪资：15-22K, 公司：好未来, 人数：10000人以上
职位名称：系统测试工程师（驱动开发）, 薪资：15-26K, 公司：清微智能, 人数：20-99人
职位名称：移动端测试工程师-实习生, 薪资：3-5K, 公司：朗镜科技, 人数：100-499人
职位名称：UC事业部-国际广告平台-测试工程师, 薪资：18-30K, 公司：阿里巴巴大文娱, 人数：1000-9999人
职位名称：机器学习测试工程师, 薪资：8-13K, 公司：永洪科技, 人数：100-499人
职位名称：高级测试工程师, 薪资：20-40K, 公司：ADVANCE, 人数：500-999人
职位名称：测试工程师, 薪资：5-8K, 公司：北京臻安芯医疗科技, 人数：20-99人
职位名称：高级测试工程师, 薪资：25-50K, 公司：顺视通, 人数：0-20人
职位名称：产品/系统测试工程师, 薪资：8-15K, 公司：北京吉天仪器有限公司, 人数：100-499人
职位名称：测试工程师, 薪资：10-16K, 公司：京北方, 人数：10000人以上
职位名称：测试工程师, 薪资：6-10K, 公司：信力时代, 人数：10000人以上
职位名称：车辆测试工程师, 薪资：4-6K, 公司：尚能联创, 人数：500-999人
职位名称：AI计算框架高级测试工程师, 薪资：25-50K, 公司：华为技术有限公司, 人数：20-99人
职位名称：测试工程师, 薪资：10-15K, 公司：udesk, 人数：1000-9999人
